author,bookformat,desc,genre,img,isbn,isbn13,link,pages,rating,reviews,title,totalratings
B.B. Haywood,English,"
  In the quaint seaside village

   of Cape Willington, Maine, Candy Holliday has a mostly idyllic life, tending to the Blueberry Acres farm she runs with her father and occasionally stepping in to solve a murder or two
 Halloween is fast approaching, and preparations for the Pumpkin Bash, Cape Willingtons annual autumn festival, are well underway. Candy is running this years haunted hayride, in the hopes of making some extra cash. But when she discovers a real dead body near some fake tombstones, Candys side job becomes a full-blown investigation to find out who turned a holiday attraction into a real horror show.Will Candys keen eye for detail unearth buried town secrets? As her search leads her through old graveyards and a haunted house, Candy will discover that not all of the skeletons hidden in this small towns closets are Halloween decorationsINCLUDES DELICIOUS RECIPES!","['Halloween', 'Holiday', 'Food', 'Cozy Mystery', 'Mystery', 'Fiction', 'Culinary', 'Chick Lit', 'Cooking']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1349938045i/15742835.jpg,0425251888,9780425251881,https://www.goodreads.com/book/show/15742835-town-in-a-pumpkin-bash,336.0,3.89,117.0,Town in a Pumpkin Bash,791.0
"Dinah McCall, Sharon Sala",English,"A Dream...Or A Nightmare?Ever since the night Morgan Tallchief lost the only woman he would ever love, he has struggled to seal away the past. But now Kathleen Ryder is back in his life--still pursued by the deadly secrets that forced her to flee before. And even though Morgan swears to protect her, he is helpless against his own rekindled passion.Kathleen has never forgotten the achingly sweet hunger that bound them together years ago. Now, still on the run, all she dares ask is that Morgan keep her safe--never expecting that he has the power to breathe life-giving fire to an ember that has grown cold.","['Westerns', 'Romance', 'Fiction', 'Romantic Suspense', 'Historical', 'Historical Romance', 'Suspense', 'Contemporary Romance', 'Native Americans', 'Contemporary']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1435732565i/582070.jpg,0061084441,9780061084447,https://www.goodreads.com/book/show/582070.Tallchief,352.0,4.23,50.0,Tallchief,918.0
Tamar Myers,English,"Feelings run high among teetotalling members of the Mennonite community of Hernia, Pennsylvania, when an unscrupulous outside group buys an old farm on the edge of town with plans to open a winery, and Magdalena Yoder is forced to step in when things begin to get really ugly and the vineyard's manager is found entombed in cement. Reprint.","['Cozy Mystery', 'Fiction', 'Mystery', 'Amish', 'Humor', 'Adult']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388967572i/357162.jpg,0451218620,9780451218629,https://www.goodreads.com/book/show/357162.Grape_Expectations,272.0,3.75,32.0,Grape Expectations,590.0
Lilian Jackson Braun,English,"Pickax's favorite columnist, James Qwilleran, is enjoying a brief holiday in the nearby town of Black Creek - but his two Siamese, who prefer the spaciousness of their home, beg to differ. The blissful tranquility is soon interrupted by the discovery of a body floating down the creek. And a possible motive for his murder is suggested when several gold nuggets are found in his possession. Might he have been illegally prospecting for gold? If so, it seems he wasn't the only one in search of an easy fortune. And his competitor is far more determined to strike it rich..","['Audiobook', 'Cozy Mystery', 'Fiction', 'Mystery', 'Mystery Thriller', 'Adult', 'Humor', 'Animals', 'Crime', 'Cats']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388862179i/375572.jpg,0515134384,9780515134384,https://www.goodreads.com/book/show/375572.The_Cat_Who_Went_Up_the_Creek,291.0,3.84,283.0,The Cat Who Went Up the Creek,6095.0
Virginia Lowell,English,"Olivia Greyson is the proud owner of The Gingerbread Housea quaint shop that specializes in all things cookieand her best friend, Maddie, is her sidekick, baking up scrumptious treats for their cookie-themed parties. But when a stunning antique cookie cutter collection leads to murder, things get a bit too hot to handle","['Fiction', 'Cozy Mystery', 'Mystery', 'Adult Fiction']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1387768755i/19486425.jpg,0425260704,9780425260708,https://www.goodreads.com/book/show/19486425-cookies-and-scream,304.0,3.84,64.0,Cookies and Scream,545.0
Carlene O'Connor,English,"The O'Sullivan clan of County Cork, Ireland, are back to investigate another case of murder--this time at Christmas!Garda Siobhan O'Sullivan's holiday plans hit a sour note when murder rearranges the yuletide carols into unexpected eulogies...This December in Kilbane, if you're planning to warm up with a cuppa tea at Naomi's Bistro, you may have a bit of a wait--the entire O'Sullivan brood has gone off to West Cork to spend the holidays with brother James's fiancee Elise's family, including her grandfather, the famous orchestral conductor Enda Elliot. Siobhan is so happy for James and Elise but also quietly disappointed that she must put her own wedding to fellow garda Macdara Flannery on hold. Mac will have to join them later, so he can spend part of the holidays with his mam.When the O'Sullivans learn everyone will choose a name from a hat to buy a music-related Christmas gift for someone else at the gathering, it seems like their greatest concern--until the cantankerous conductor is discovered crushed under a ninety-pound harp in a local concert hall.With the extended family--including Enda's much-younger new wife Leah, a virtuoso violinist--suspected in his murder, it's up to Siobhan to ensure the guilty party faces the music. But as a snowstorm strands both families in a lavish farmhouse on a cliff, Siobhan had better pick up the tempo--before the killer orchestrates another untimely demise...","['Christmas', 'Holiday', 'Ireland', 'Audiobook', 'Cozy Mystery', 'Mystery', 'Fiction', 'Mystery Thriller', 'Crime', 'Contemporary']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1597949514i/53533254.jpg,1496719123,9781496719126,https://www.goodreads.com/book/show/53533254-murder-at-an-irish-christmas,306.0,3.99,495.0,Murder at an Irish Christmas,4995.0
Christy Barritt,English,"On her way to completing a degree in forensic science, Gabby St. Claire dropped out of school and started her own crime scene cleaning business. Now, when a routine cleaning job leads her to a murder weapon the police overlooked, she realizes that the wrong man is in jail. With the help of her new and attractively single neighbor, Riley Thomas, Gabby plays the detective to make sure the right man is put behind bars.","['Christian Fiction', 'Cozy Mystery', 'Mystery', 'Fiction', 'Thriller', 'Mystery Thriller', 'Suspense', 'Romance', 'Crime', 'Christian']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1697524742i/146216965.jpg,,,https://www.goodreads.com/book/show/146216965-hazardous-duty,,4.08,713.0,Hazardous Duty,6738.0
J.C. Eaton,English,"Norrie Ellington gears up for Halloween at Two Witches Winery, where the phrase wine and spirits takes on spookyand deadlyovertones . . .Back at Two Witches Winery for a short stay, Norrie Ellington is warming to the holiday spirit and the upcoming Hallow Wine Weekend, and shes happy to steer clear of the writer from Wine Enthusiast magazine whos come to do interviews about this years spectacular Merlot. But then the critics dead body is found slumped over a Halloween cauldron display, and despite a stern warning from the local deputy to keep her nose out of it, Norrie instantly switches into sleuth mode. Intent on discovering why someone wanted to silence the victim, Norrie quickly learns that he was an unbearable snob and known womanizer who had no shortage of enemies. But as one suspect after another leads to a dead end, Norries stumpeduntil the one mysterious clue thats been haunting her turns the case around. Now, as all the ghouls, goblins, and trick-or-treaters come out on Halloween, Norries ready to unleash her spirit of justiceshe just has to close in on the killer before the Grim Reaper closes in on her . . .Praise for the Books of J. C. Engaging characters and a stirring mystery kept me captivated from the first page to the last. Dollycas, Amazon Vine Voice, on Divide and Concord Well-crafted sleuth, enjoyable supporting characters. This is a series not to be missed. Cozy Cat Reviews on Death, Dismay and RosA sparkling addition to the Wine Trail Mystery series. A toast to protagonist Norrie and Two Witches Winery, where the characters shine and the mystery flows. This novel is a perfect blend of suspense and fun! Carlene ONeil, author of the Cypress Cove Mysteries, on Chardonnayed to RestA thoroughly entertaining series debut, with enjoyable yet realistic characters and enough plot twistsand dead endsto appeal from beginning to end. Booklist, starred review, on Booked 4 MurderEnjoy this laugh-out-loud funny mystery that will make you scream for the authors to get busy on the next one. Suspense Magazine on Molded 4 MurderAbout the J. C. Eaton is the pen name of husband-and-wife writing team Ann I. Goldfarb and James E. Clapp. They are the authors of the Wine Trail Mysteries, the Sophie Kimball Mysteries, and the Marcie Rayner Mysteries. In addition, Ann has published nine YA time travel mysteries under her own name. You can learn more about Ann and Jim at jceatonmysteries.com, jceatonauthor.com, facebook.com/JCEatonauthor, and timetravelmysteries.com.","['Cozy Mystery', 'Mystery']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1657727117i/61435349.jpg,1958384062,9781958384060,https://www.goodreads.com/book/show/61435349-mischief-murder-and-merlot,284.0,4.23,23.0,"Mischief, Murder and Merlot",52.0
Donna Andrews,English,"Croquet is a genteel game, usually played on a summer afternoon on a tranquil green lawn. Extreme Croquet is a whole other story. That's what Meg Langslow and her new friends are playing on the several-acre farm of her new neighbor, a countryside studded with rocks, steep hills, and placid, seemingly immovable cows. While this society game can get quite warm, it hasn't reached the stage of actual homicide at least not until Meg knocks her ball down a small cliff and encounters the body of a dead woman.","['Audiobook', 'Adult Fiction', 'Cozy Mystery', 'Fiction', 'Mystery', 'Mystery Thriller', 'Romance', 'Humor', 'Adult', 'Contemporary']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1389426692i/270848.jpg,0312329407,9780312329402,https://www.goodreads.com/book/show/270848.No_Nest_for_the_Wicket,272.0,4.02,294.0,No Nest for the Wicket,4350.0
L.B. Hathaway,English," Like your murder mysteries as sweet as honey but with a real sting in the tail?  From acclaimed British author L.B. Hathaway comes this exciting new cozy murder mystery featuring the redoubtable Private Detective, Posie Parker.This is the second book in the Posie Parker Mystery Series, although it can be enjoyed as a stand-alone story. Set across a number of exotic locations during the summer of 1921, 'The Tomb of the Honey Bee' is a classic murder mystery set during the Golden Age of Crime which will appeal to fans of Agatha Christie and Downton Abbey.When Posie is asked to find a world-famous explorer who has gone missing, she finds herself in murky waters yet again: an aristocratic family torn apart by hatred, a bizarre murder at an English country house, and a cryptic clue left behind by the explorer which is sweet as honey, but deadlier than poison.In a case where simply everyone has a motive for wanting the explorer dead, Posies investigation starts off in the English Cotswolds, takes her through the glamorous South of France, on to the mysterious island of Ortigia in Italy, and then into the Tombs of the Pharaohs in Egypt. But is she being followed by a cold-blooded killer? And where has Len, her almost-boyfriend, disappeared to? 
  If you love an action-packed historical cozy crime with a feisty protagonist, download a sample or buy 'The Tomb of the Honey Bee' now.
   Other books by L.B. Hathaway: 'Murder Offstage' (A Posie Parker Mystery #1) is also available on Amazon.'Murder at Maypole Manor' (A Posie Parker Mystery #3) and 'The Vanishing of Dr Winter' (A Posie Parker Mystery #4) are available late 2015.To be the first to hear about L.B. Hathaway's new releases sign up for the newsletter at: lbhathaway.comFollow L.B. Hathaway on:Twitter: @LbHathaway","['Detective', 'Audiobook', 'Murder Mystery', 'Cozy Mystery', 'Adventure', 'Fiction', 'Mystery', 'Historical', 'Historical Fiction', 'Historical Mystery']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1438154606i/23787740.jpg,0992925436,9780992925437,https://www.goodreads.com/book/show/23787740-the-tomb-of-the-honey-bee,264.0,4.16,175.0,The Tomb of the Honey Bee,2831.0
Gina LaManna,English,"My mother says trouble began the day I was born, but Id disagree. I think trouble started the day I crashed my broomstick into an undercover cop car.My name is Ainsley Shaw, and Im a Guardian Witch. The title sounds fancier than it isreally, Im a glorified bodyguard for magical people. I love my job, and Im good at it most days.Except today. While I was flying around town on my broomstick thinking about life, love, and the latest episode of The Bachelor, I zoned out and ran smack dab into the taillights of a speeding police cruiser. Unfortunately, the man inside was a human cop, which made explaining how I appeared from thin air in the middle of a crime scene a bit of a challenge.Now, the police think Im troublenot least of all Detective Hotterson, the one responsible for denting my shiny new broomstick. Which means that if I cant find the real bad guys before Im put in jail, Ill be locked away for a crime I didnt commit.However, when magic is involved, things are never as simple as they appear...** ** ** **This is a full length, humorous cozy mystery complete with magic, romance, and suspense. So grab your broomstick, hold on tight, and join Ainsley for the ride!","['Witches', 'Urban Fantasy', 'Cozy Mystery', 'Magic', 'Mystery', 'Fiction', 'Paranormal', 'Romance', 'Supernatural', 'Fantasy']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1482671443i/32837515.jpg,,,https://www.goodreads.com/book/show/32837515-the-undercover-witch,252.0,4.28,126.0,The Undercover Witch,1352.0
Christina Skye,English,"When a beautiful hotel investigator teams up with an irresistible Navy SEAL, going undercover could take them over the top . . .Two FBI agents are dead. A top-secret government lab animal has been stolen. Now Hawk MacKenzie just walked in on a naked woman in his hotel shower. She says shes royalty and has the attitude to match. Whether this arousing female is a true blue-blood or not, the combat-trained Navy SEAL isnt letting her out of his sight.Actually a hotel investigator in disguise, Jess Mulcahey cant believe shes being held against her will by this gorgeous commando whos about to blow her cover. Lucky for her, shes good at narrow escapes. But just when she hits the road, dodging bullets and outwitting cold-blooded pursuers, her luck bottoms out . . . and Hawk is her only hope of protection. A few stolen hours in a stalled elevator show Jess a different, more sensual side to the hard-edged SEAL. Now the two are closing in on their missing government secrets and trying hard to ignore their memories. . . . But theyre about to discover that the most dangerous revelations come from an unguarded heart. . . .","['Military Romance', 'Military Fiction', 'Romance', 'Fiction', 'Romantic Suspense', 'Mystery', 'Mystery Thriller', 'Suspense', 'Contemporary Romance', 'Contemporary']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1392098061i/673942.jpg,0440237610,9780440237617,https://www.goodreads.com/book/show/673942.Code_Name,288.0,3.88,57.0,Code Name: Princess,1220.0
Parnell Hall,English,"Bakerhaven, Connecticut, seems like the ideal place to host a charity crossword-puzzle tournamentafter all, the town is home to Cora Felton, the beloved puzzle columnist known as the Puzzle Lady. A slew of celebrity contestants are on the way. And the locals have been invited to challenge the veteran puzzlers head-on. But soon the towns attention is fixated on something far more controversial than crosswordswhen the body of the town tart is discovered lying dead on her kitchen floor. Before anyone can stop her, Cora is hot on the trail of the truth, interviewing nosy neighbors, digging up dirt, and drawing out a lonely recluse who just may hold the key to cracking the crime. But will she solve the case before the contest comes to a deadly end? Cora once again proves that sleuthing spells S-U-S-P-E-N-S-Eup, across, and down!","['Detective', 'Cozy Mystery', 'Fiction', 'Mystery', 'Mystery Thriller', 'Humor']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388363387i/735095.jpg,0553581465,9780553581461,https://www.goodreads.com/book/show/735095.Puzzled_to_Death,416.0,3.67,65.0,Puzzled to Death,832.0
"Alisa Craig, Charlotte MacLeod",English,"VEGETABLES CAN BE HAZARDOUS TO YOUR HEALTH! Old Agatha Treadway baked her own bread, canned her own vegetables---and died of botulism in her very own kitchen. Accident, says Dr. Druffitt. Murder, says neighbor Janet Wadman. And says it again when she finds the doctor dead, too. Detective Inspector Madoc Rhys, of the royal Canadian Mounted Police, agrees. But who's the killer...the town miser, who wants the one thing only Mrs. Treadway could have given him? The miser's son who's panting for the doctor's daughter? Widow Druffitt, who's holding secret meetings with unlikely people? The hired girl who listens at keyholes? The hired man who hides in haylofts? It's an awful mess...and when Rhys gets it sorted out, he faces an even tougher problem of his own. This is #1 in Madoc &amp; Janet Rhys Series.","['Canada', 'Detective', 'Audiobook', 'Cozy Mystery', 'Fiction', 'Mystery', 'Mystery Thriller', 'Crime', 'Unfinished']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1326057722i/673407.jpg,0380703343,9780380703340,https://www.goodreads.com/book/show/673407.A_Pint_of_Murder,186.0,3.94,84.0,A Pint of Murder,1746.0
Clare Lydon,English,"Two stranded travellers. One secret crush. Can they make it home without falling in love? Thrown together when their plane conks out and a blizzard rolls in, Morgan Scott and her childhood friend Ali Bradford are on a mission to make it from Glasgow to Devon in time for Christmas. The catch? Roads and trains are up the spout, Morgans patience is running low, and Ali has had a secret crush on Morgan since forever. But she can keep a lid on over two decades of unrequited love. Particularly when they keep having to share a bed. Absolutely no problem at all. As Morgan and Ali inch south, they discover more about themselves and each other. This is one twisty road trip that takes them places theyve never been before, and might just change their lives forever. This holiday season, wrap yourself in the latest romantic comedy from the queen of British sapphic fiction, Clare Lydon. If you love riotous road trips, red-hot attraction, lashings of snow, plus all the festive feels, this is the book for you!","['Christmas', 'Holiday', 'Lesbian', 'Fiction', 'Lesbian Fiction', 'Queer', 'Adult', 'Romance', 'LGBT', 'Contemporary']",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1664535622i/62829411.jpg,,,https://www.goodreads.com/book/show/62829411-the-christmas-catch,,4.02,184.0,The Christmas Catch,1619.0
